domain,method,n,applicable,solved
2d_3d_problem,BiCGSTAB,49,48,27
2d_3d_problem,Cholesky,49,5,3
2d_3d_problem,Conjugate Gradient,49,9,5
2d_3d_problem,GMRES(30),49,48,16
2d_3d_problem,Gauss elimination,49,34,32
2d_3d_problem,Gauss-Jordan,49,33,29
2d_3d_problem,Gauss-Seidel,49,40,20
2d_3d_problem,ILU only,49,44,4
2d_3d_problem,ILU-BiCGSTAB,49,44,38
2d_3d_problem,ILU-GMRES(30),49,44,37
2d_3d_problem,ILU-Krylov (dispatched),49,44,38
2d_3d_problem,Jacobi,49,40,15
2d_3d_problem,LU,49,34,32
2d_3d_problem,SOR,49,40,19
2d_3d_problem,splu (SuperLU),49,48,45
2d_3d_problem,spsolve (SuperLU),49,48,45
acoustics_problem,BiCGSTAB,2,2,2
acoustics_problem,Cholesky,2,0,0
acoustics_problem,Conjugate Gradient,2,1,1
acoustics_problem,GMRES(30),2,2,2
acoustics_problem,Gauss elimination,2,1,1
acoustics_problem,Gauss-Jordan,2,1,1
acoustics_problem,Gauss-Seidel,2,2,1
acoustics_problem,ILU only,2,2,1
acoustics_problem,ILU-BiCGSTAB,2,2,2
acoustics_problem,ILU-GMRES(30),2,2,2
acoustics_problem,ILU-Krylov (dispatched),2,2,2
acoustics_problem,Jacobi,2,2,1
acoustics_problem,LU,2,1,1
acoustics_problem,SOR,2,2,1
acoustics_problem,splu (SuperLU),2,2,2
acoustics_problem,spsolve (SuperLU),2,2,2
chemical_process_simulation_problem,BiCGSTAB,44,44,4
chemical_process_simulation_problem,Cholesky,44,0,0
chemical_process_simulation_problem,Conjugate Gradient,44,0,0
chemical_process_simulation_problem,GMRES(30),44,44,1
chemical_process_simulation_problem,Gauss elimination,44,24,24
chemical_process_simulation_problem,Gauss-Jordan,44,24,24
chemical_process_simulation_problem,Gauss-Seidel,44,2,1
chemical_process_simulation_problem,ILU only,44,19,4
chemical_process_simulation_problem,ILU-BiCGSTAB,44,19,18
chemical_process_simulation_problem,ILU-GMRES(30),44,19,19
chemical_process_simulation_problem,ILU-Krylov (dispatched),44,19,18
chemical_process_simulation_problem,Jacobi,44,2,1
chemical_process_simulation_problem,LU,44,24,24
chemical_process_simulation_problem,SOR,44,2,1
chemical_process_simulation_problem,splu (SuperLU),44,44,44
chemical_process_simulation_problem,spsolve (SuperLU),44,44,44
circuit_simulation_problem,BiCGSTAB,200,200,49
circuit_simulation_problem,Cholesky,200,0,0
circuit_simulation_problem,Conjugate Gradient,200,0,0
circuit_simulation_problem,GMRES(30),200,200,37
circuit_simulation_problem,Gauss elimination,200,191,190
circuit_simulation_problem,Gauss-Jordan,200,191,150
circuit_simulation_problem,Gauss-Seidel,200,2,1
circuit_simulation_problem,ILU only,200,133,0
circuit_simulation_problem,ILU-BiCGSTAB,200,133,133
circuit_simulation_problem,ILU-GMRES(30),200,133,133
circuit_simulation_problem,ILU-Krylov (dispatched),200,133,133
circuit_simulation_problem,Jacobi,200,2,1
circuit_simulation_problem,LU,200,191,190
circuit_simulation_problem,SOR,200,2,2
circuit_simulation_problem,splu (SuperLU),200,200,199
circuit_simulation_problem,spsolve (SuperLU),200,200,199
computational_chemistry_problem,BiCGSTAB,1,1,0
computational_chemistry_problem,Cholesky,1,0,0
computational_chemistry_problem,Conjugate Gradient,1,0,0
computational_chemistry_problem,GMRES(30),1,1,0
computational_chemistry_problem,Gauss elimination,1,1,1
computational_chemistry_problem,Gauss-Jordan,1,1,1
computational_chemistry_problem,Gauss-Seidel,1,1,0
computational_chemistry_problem,ILU only,1,1,0
computational_chemistry_problem,ILU-BiCGSTAB,1,1,1
computational_chemistry_problem,ILU-GMRES(30),1,1,0
computational_chemistry_problem,ILU-Krylov (dispatched),1,1,1
computational_chemistry_problem,Jacobi,1,1,0
computational_chemistry_problem,LU,1,1,1
computational_chemistry_problem,SOR,1,1,0
computational_chemistry_problem,splu (SuperLU),1,1,1
computational_chemistry_problem,spsolve (SuperLU),1,1,1
computational_fluid_dynamics,BiCGSTAB,4,4,4
computational_fluid_dynamics,Cholesky,4,0,0
computational_fluid_dynamics,Conjugate Gradient,4,0,0
computational_fluid_dynamics,GMRES(30),4,4,1
computational_fluid_dynamics,Gauss elimination,4,2,2
computational_fluid_dynamics,Gauss-Jordan,4,2,2
computational_fluid_dynamics,Gauss-Seidel,4,0,0
computational_fluid_dynamics,ILU only,4,4,0
computational_fluid_dynamics,ILU-BiCGSTAB,4,4,4
computational_fluid_dynamics,ILU-GMRES(30),4,4,4
computational_fluid_dynamics,ILU-Krylov (dispatched),4,4,4
computational_fluid_dynamics,Jacobi,4,0,0
computational_fluid_dynamics,LU,4,2,2
computational_fluid_dynamics,SOR,4,0,0
computational_fluid_dynamics,splu (SuperLU),4,4,4
computational_fluid_dynamics,spsolve (SuperLU),4,4,4
computational_fluid_dynamics_problem,BiCGSTAB,122,119,57
computational_fluid_dynamics_problem,Cholesky,122,1,1
computational_fluid_dynamics_problem,Conjugate Gradient,122,9,8
computational_fluid_dynamics_problem,GMRES(30),122,119,40
computational_fluid_dynamics_problem,Gauss elimination,122,61,61
computational_fluid_dynamics_problem,Gauss-Jordan,122,61,60
computational_fluid_dynamics_problem,Gauss-Seidel,122,62,11
computational_fluid_dynamics_problem,ILU only,122,111,1
computational_fluid_dynamics_problem,ILU-BiCGSTAB,122,111,70
computational_fluid_dynamics_problem,ILU-GMRES(30),122,111,65
computational_fluid_dynamics_problem,ILU-Krylov (dispatched),122,111,70
computational_fluid_dynamics_problem,Jacobi,122,62,7
computational_fluid_dynamics_problem,LU,122,61,61
computational_fluid_dynamics_problem,SOR,122,62,9
computational_fluid_dynamics_problem,splu (SuperLU),122,117,116
computational_fluid_dynamics_problem,spsolve (SuperLU),122,119,116
computer_graphics_vision_problem,BiCGSTAB,1,1,1
computer_graphics_vision_problem,Cholesky,1,1,1
computer_graphics_vision_problem,Conjugate Gradient,1,1,1
computer_graphics_vision_problem,GMRES(30),1,1,1
computer_graphics_vision_problem,Gauss elimination,1,1,1
computer_graphics_vision_problem,Gauss-Jordan,1,1,1
computer_graphics_vision_problem,Gauss-Seidel,1,1,1
computer_graphics_vision_problem,ILU only,1,1,0
computer_graphics_vision_problem,ILU-BiCGSTAB,1,1,1
computer_graphics_vision_problem,ILU-GMRES(30),1,1,1
computer_graphics_vision_problem,ILU-Krylov (dispatched),1,1,1
computer_graphics_vision_problem,Jacobi,1,1,1
computer_graphics_vision_problem,LU,1,1,1
computer_graphics_vision_problem,SOR,1,1,1
computer_graphics_vision_problem,splu (SuperLU),1,1,1
computer_graphics_vision_problem,spsolve (SuperLU),1,1,1
counter_example_problem,BiCGSTAB,4,4,2
counter_example_problem,Cholesky,4,0,0
counter_example_problem,Conjugate Gradient,4,0,0
counter_example_problem,GMRES(30),4,4,0
counter_example_problem,Gauss elimination,4,0,0
counter_example_problem,Gauss-Jordan,4,0,0
counter_example_problem,Gauss-Seidel,4,2,1
counter_example_problem,ILU only,4,3,1
counter_example_problem,ILU-BiCGSTAB,4,3,3
counter_example_problem,ILU-GMRES(30),4,3,3
counter_example_problem,ILU-Krylov (dispatched),4,3,3
counter_example_problem,Jacobi,4,2,1
counter_example_problem,LU,4,0,0
counter_example_problem,SOR,4,2,0
counter_example_problem,splu (SuperLU),4,3,3
counter_example_problem,spsolve (SuperLU),4,4,3
directed_weighted_graph,BiCGSTAB,17,17,10
directed_weighted_graph,Cholesky,17,0,0
directed_weighted_graph,Conjugate Gradient,17,0,0
directed_weighted_graph,GMRES(30),17,17,8
directed_weighted_graph,Gauss elimination,17,14,14
directed_weighted_graph,Gauss-Jordan,17,13,13
directed_weighted_graph,Gauss-Seidel,17,12,10
directed_weighted_graph,ILU only,17,16,2
directed_weighted_graph,ILU-BiCGSTAB,17,16,15
directed_weighted_graph,ILU-GMRES(30),17,16,15
directed_weighted_graph,ILU-Krylov (dispatched),17,16,15
directed_weighted_graph,Jacobi,17,12,3
directed_weighted_graph,LU,17,14,14
directed_weighted_graph,SOR,17,12,8
directed_weighted_graph,splu (SuperLU),17,17,17
directed_weighted_graph,spsolve (SuperLU),17,17,17
economic_problem,BiCGSTAB,17,13,2
economic_problem,Cholesky,17,0,0
economic_problem,Conjugate Gradient,17,0,0
economic_problem,GMRES(30),17,13,2
economic_problem,Gauss elimination,17,1,1
economic_problem,Gauss-Jordan,17,1,1
economic_problem,Gauss-Seidel,17,1,1
economic_problem,ILU only,17,7,0
economic_problem,ILU-BiCGSTAB,17,7,5
economic_problem,ILU-GMRES(30),17,7,4
economic_problem,ILU-Krylov (dispatched),17,7,5
economic_problem,Jacobi,17,1,1
economic_problem,LU,17,1,1
economic_problem,SOR,17,1,1
economic_problem,splu (SuperLU),17,12,12
economic_problem,spsolve (SuperLU),17,13,12
eigenvalue_model_reduction_problem,BiCGSTAB,19,11,3
eigenvalue_model_reduction_problem,Cholesky,19,0,0
eigenvalue_model_reduction_problem,Conjugate Gradient,19,0,0
eigenvalue_model_reduction_problem,GMRES(30),19,11,2
eigenvalue_model_reduction_problem,Gauss elimination,19,1,1
eigenvalue_model_reduction_problem,Gauss-Jordan,19,1,1
eigenvalue_model_reduction_problem,Gauss-Seidel,19,0,0
eigenvalue_model_reduction_problem,ILU only,19,2,1
eigenvalue_model_reduction_problem,ILU-BiCGSTAB,19,2,2
eigenvalue_model_reduction_problem,ILU-GMRES(30),19,2,2
eigenvalue_model_reduction_problem,ILU-Krylov (dispatched),19,2,2
eigenvalue_model_reduction_problem,Jacobi,19,0,0
eigenvalue_model_reduction_problem,LU,19,1,1
eigenvalue_model_reduction_problem,SOR,19,0,0
eigenvalue_model_reduction_problem,splu (SuperLU),19,3,3
eigenvalue_model_reduction_problem,spsolve (SuperLU),19,11,3
electromagnetics_problem,BiCGSTAB,25,25,17
electromagnetics_problem,Cholesky,25,1,1
electromagnetics_problem,Conjugate Gradient,25,3,2
electromagnetics_problem,GMRES(30),25,25,9
electromagnetics_problem,Gauss elimination,25,13,13
electromagnetics_problem,Gauss-Jordan,25,13,13
electromagnetics_problem,Gauss-Seidel,25,22,8
electromagnetics_problem,ILU only,25,25,1
electromagnetics_problem,ILU-BiCGSTAB,25,25,19
electromagnetics_problem,ILU-GMRES(30),25,25,19
electromagnetics_problem,ILU-Krylov (dispatched),25,25,19
electromagnetics_problem,Jacobi,25,22,2
electromagnetics_problem,LU,25,13,13
electromagnetics_problem,SOR,25,22,8
electromagnetics_problem,splu (SuperLU),25,25,23
electromagnetics_problem,spsolve (SuperLU),25,25,23
linear_programming_problem,BiCGSTAB,1,1,0
linear_programming_problem,Cholesky,1,0,0
linear_programming_problem,Conjugate Gradient,1,0,0
linear_programming_problem,GMRES(30),1,1,1
linear_programming_problem,Gauss elimination,1,0,0
linear_programming_problem,Gauss-Jordan,1,0,0
linear_programming_problem,Gauss-Seidel,1,0,0
linear_programming_problem,ILU only,1,1,0
linear_programming_problem,ILU-BiCGSTAB,1,1,1
linear_programming_problem,ILU-GMRES(30),1,1,1
linear_programming_problem,ILU-Krylov (dispatched),1,1,1
linear_programming_problem,Jacobi,1,0,0
linear_programming_problem,LU,1,0,0
linear_programming_problem,SOR,1,0,0
linear_programming_problem,splu (SuperLU),1,1,1
linear_programming_problem,spsolve (SuperLU),1,1,1
materials_problem,BiCGSTAB,9,9,2
materials_problem,Cholesky,9,0,0
materials_problem,Conjugate Gradient,9,1,1
materials_problem,GMRES(30),9,9,4
materials_problem,Gauss elimination,9,1,1
materials_problem,Gauss-Jordan,9,1,1
materials_problem,Gauss-Seidel,9,6,2
materials_problem,ILU only,9,6,0
materials_problem,ILU-BiCGSTAB,9,6,2
materials_problem,ILU-GMRES(30),9,6,3
materials_problem,ILU-Krylov (dispatched),9,6,2
